Local de residência (à data dos Censos 2021),"Taxa de emprego (%) por Local de residência (à data dos Censos 2021), Sexo e Grupo etário; Decenal"
Carrazedo de Montenegro e Curros,31.21
Ervões,24.80
Fornos do Pinhal,13.58
Friões,18.31
"Lebução, Fiães e Nozelos",16.76
Padrela e Tazem,22.69
Possacos,30.97
Rio Torto,23.42
Santa Maria de Emeres,19.46
Santa Valha,31.77
Santiago da Ribeira de Alhariz,16.25
São João da Corveira,27.12
São Pedro de Veiga de Lila,19.05
Serapicos,24.47
Sonim e Barreiros,18.36
Tinhela e Alvarelhos,15.38
Vales,17.02
Valpaços e Sanfins,44.10
Vassal,23.58
Veiga de Lila,22.33
Vilarandelo,32.12
Vila Pouca de Aguiar,36.09
Alfarela de Jales,29
Alvão,35.98
Bornes de Aguiar,37.89
Bragado,25.60
