Local de residência (à data dos Censos 2021),Proporção da população residente com pelo menos o ensino secundário completo (%) por Local de residência (à data dos Censos 2021) e Sexo; Decenal
União das freguesias de Fornelo e Vairão,35.31
União das freguesias de Malta e Canidelo,31.64
União das freguesias de Retorta e Tougues,40.92
União das freguesias de Rio Mau e Arcos,32.18
União das freguesias de Touguinha e Touguinhó,40.12
União das freguesias de Vilar e Mosteiró,36.19
Vila Chã,45.21
Vila do Conde,43.85
Vilar de Pinheiro,42.24
Vila Nova de Gaia,47.74
Arcozelo,55.20
Avintes,35.66
Canelas,46.63
Canidelo,50.66
Madalena,50.34
Oliveira do Douro,42.88
São Félix da Marinha,51.18
União das freguesias de Grijó e Sermonde,38.39
União das freguesias de Gulpilhares e Valadares,52.61
União das freguesias de Mafamude e Vilar do Paraíso,54.97
União das freguesias de Pedroso e Seixezelo,41.89
"União das freguesias de Sandim, Olival, Lever e Crestuma",35.62
União das freguesias de Santa Marinha e São Pedro da Afurada,52.42
União das freguesias de Serzedo e Perosinho,39.62
Vilar de Andorinho,40.12
Alto Tâmega,30.52
Boticas,24.02
Alturas do Barroso e Cerdedo,15.56
Ardãos e Bobadela,16.79
Beça,26.72
Boticas e Granja,35.09
"Codessoso, Curros e Fiães do Tâmega",20.80
Covas do Barroso,10.23
Dornelas,17.44
Pinho,19.32
Sapiãos,22.80
Vilar e Viveiro,13.84
Chaves,37.62
Águas Frias,23.41
Anelhe,17.45
Bustelo,37.11
Cimo de Vila da Castanheira,12.10
Curalha,26.32
Ervededo,16.67
Faiões,30.56
Lama de Arcos,19.71
Mairos,23.51
Moreiras,22.34
Nogueira da Montanha,13.60
Oura,24.67
Outeiro Seco,47.25
Paradela,20.10
Planalto de Monforte (União das freguesias de Oucidres e Bobadela),8.57
Redondelo,23.56
Sanfins,6.95
Santa Leocádia,13.69
Santa Maria Maior,53.31
Santo António de Monforte,27.90
Santo Estêvão,25.42
São Pedro de Agostém,30.92
São Vicente,2.79
Tronco,15.34
